"scenario_index","scenario_id","scenario_type","rep","q_epsilon_target","q_epsilon_theoretical","q_epsilon_empirical","range_block_ratio","microscale","true_nugget","partial_sill","true_sill","sigma2_eps","observed_nugget","observed_sill","spherical_range","spherical_range_block_units","target_r2_block","prediction_relation","n_blocks_side","fine_per_block","n_sample","sigma2_obs_theoretical","sigma2_obs_empirical","sigma2_delta_theoretical","sigma2_delta_empirical","cov_point_block_theoretical","var_block_theoretical","lambda_theoretical","lambda_empirical","n_negative_eigenvalues","r_obs","R2_obs","RMSE_obs","r_true_point","R2_true_point","RMSE_true_point","r_block_true","R2_block_true","RMSE_block_true","r_ME","R2_ME","RMSE_ME","r_B_hat","R2_B_hat","RMSE_B_hat","lower_value_holds"
1,"sc001_q000_rb02_micro-moderate_r230_block_targeted","core",1,0,0,0,2,"moderate",0.2,0.8,1,0,0.2,1,10,2,0.3,"block_targeted",40,5,500,1,0.963895646547429,0.494444953959777,0.487031891686875,NA,0.505555046040223,0.505555046040223,0.495779521288455,0,0.387819624223819,0.150404060933104,0.9560330254576,0.387819624223819,0.150404060933104,0.9560330254576,0.547722557505166,0.3,0.657511262666966,0.387819624223819,0.150404060933104,0.9560330254576,0.545438207263182,0.297502837942474,0.647730030032448,TRUE
1,"sc001_q000_rb02_micro-moderate_r230_block_targeted","core",2,0,0,0,2,"moderate",0.2,0.8,1,0,0.2,1,10,2,0.3,"block_targeted",40,5,500,1,0.955962049695798,0.494444953959777,0.498604929216875,NA,0.505555046040223,0.505555046040223,0.505267223410107,0,0.379076853988387,0.143699261229733,0.967307303331816,0.379076853988387,0.143699261229733,0.967307303331816,0.547722557505166,0.3,0.677646384928704,0.379076853988387,0.143699261229733,0.967307303331816,0.533142179352599,0.284240583404839,0.664257830303335,TRUE
1,"sc001_q000_rb02_micro-moderate_r230_block_targeted","core",3,0,0,0,2,"moderate",0.2,0.8,1,0,0.2,1,10,2,0.3,"block_targeted",40,5,500,1,0.931178547469135,0.494444953959777,0.470174254562388,NA,0.505555046040223,0.505555046040223,0.521676965806159,0,0.395292131559097,0.156255869272534,0.94601538157732,0.395292131559097,0.156255869272534,0.94601538157732,0.547722557505166,0.3,0.678890194005999,0.395292131559097,0.156255869272534,0.94601538157732,0.555947708975149,0.309077855114717,0.632850810397763,TRUE
1,"sc001_q000_rb02_micro-moderate_r230_block_targeted","core",4,0,0,0,2,"moderate",0.2,0.8,1,0,0.2,1,10,2,0.3,"block_targeted",40,5,500,1,1.09778392669111,0.494444953959777,0.475202627514538,NA,0.505555046040223,0.505555046040223,0.522665623362771,0,0.405455108717492,0.164393845185113,1.00323755802292,0.405455108717492,0.164393845185113,1.00323755802292,0.547722557505166,0.3,0.68841217850426,0.405455108717492,0.164393845185113,1.00323755802292,0.570241147717002,0.325174966549604,0.715570153002499,TRUE
1,"sc001_q000_rb02_micro-moderate_r230_block_targeted","core",5,0,0,0,2,"moderate",0.2,0.8,1,0,0.2,1,10,2,0.3,"block_targeted",40,5,500,1,1.03251154043553,0.494444953959777,0.521232206255532,NA,0.505555046040223,0.505555046040223,0.49996899959501,0,0.381634985632457,0.145645262258686,0.99592252609602,0.381634985632457,0.145645262258686,0.99592252609602,0.547722557505166,0.3,0.685917182634988,0.381634985632457,0.145645262258686,0.99592252609602,0.536739993002894,0.288089820088746,0.70527776373972,TRUE
1,"sc001_q000_rb02_micro-moderate_r230_block_targeted","core",6,0,0,0,2,"moderate",0.2,0.8,1,0,0.2,1,10,2,0.3,"block_targeted",40,5,500,1,0.939558202014997,0.494444953959777,0.492325565647462,NA,0.505555046040223,0.505555046040223,0.496394970530797,0,0.391828642846377,0.153529685354833,0.945967448969918,0.391828642846377,0.153529685354833,0.945967448969918,0.547722557505166,0.3,0.662064483858503,0.391828642846377,0.153529685354833,0.945967448969918,0.551076580862117,0.303685397974681,0.632779156223463,TRUE
1,"sc001_q000_rb02_micro-moderate_r230_block_targeted","core",7,0,0,0,2,"moderate",0.2,0.8,1,0,0.2,1,10,2,0.3,"block_targeted",40,5,500,1,1.02427769670621,0.494444953959777,0.504250592131777,NA,0.505555046040223,0.505555046040223,0.484394651612278,0,0.404503307103233,0.163622925457452,0.965555410244925,0.404503307103233,0.163622925457452,0.965555410244925,0.547722557505166,0.3,0.652955385196189,0.404503307103233,0.163622925457452,0.965555410244925,0.568902512604892,0.323650068848159,0.661704085141893,TRUE
1,"sc001_q000_rb02_micro-moderate_r230_block_targeted","core",8,0,0,0,2,"moderate",0.2,0.8,1,0,0.2,1,10,2,0.3,"block_targeted",40,5,500,1,1.02949129868015,0.494444953959777,0.464567088173721,NA,0.505555046040223,0.505555046040223,0.506324841804238,0,0.371400883233882,0.137938616066908,0.992100713082873,0.371400883233882,0.137938616066908,0.992100713082873,0.547722557505166,0.3,0.656614193385223,0.371400883233882,0.137938616066908,0.992100713082873,0.522346522129937,0.272845889181241,0.699870610141452,TRUE
1,"sc001_q000_rb02_micro-moderate_r230_block_targeted","core",9,0,0,0,2,"moderate",0.2,0.8,1,0,0.2,1,10,2,0.3,"block_targeted",40,5,500,1,1.1386471499958,0.494444953959777,0.522924344961451,NA,0.505555046040223,0.505555046040223,0.486372806038375,0,0.360939323804627,0.130277195468541,1.04365450664975,0.360939323804627,0.130277195468541,1.04365450664975,0.547722557505166,0.3,0.666372804930315,0.360939323804627,0.130277195468541,1.04365450664975,0.507633150593645,0.257691415581631,0.771213184074644,TRUE
1,"sc001_q000_rb02_micro-moderate_r230_block_targeted","core",10,0,0,0,2,"moderate",0.2,0.8,1,0,0.2,1,10,2,0.3,"block_targeted",40,5,500,1,1.09912703730159,0.494444953959777,0.586459249227889,NA,0.505555046040223,0.505555046040223,0.45615128420517,0,0.364131260512185,0.132591574882193,1.0260092922121,0.364131260512185,0.132591574882193,1.0260092922121,0.547722557505166,0.3,0.665137118391641,0.364131260512185,0.132591574882193,1.0260092922121,0.512122361883436,0.262269313541069,0.747161370619352,TRUE
