"q_epsilon_target","range_block_ratio","lambda_theoretical_mean","R2_obs_mean","R2_ME_mean","R2_B_hat_mean","R2_block_true_mean","RMSE_obs_mean","RMSE_ME_mean","RMSE_B_hat_mean","RMSE_block_true_mean"
0,2,0.505555046040223,0.301705805093542,0.301705805093542,0.59678131482746,0.6,0.849922980874877,0.849922980874877,0.475787883158031,0.476275094442605
0.4,2,0.303333027624134,0.18130618108726,0.302176968478766,0.597713287297946,0.6,1.17699329386996,0.846995081607356,0.464630705775287,0.475557382053555
0.25,10,0.554211407415554,0.332181290607102,0.442908387476136,0.599376494533302,0.6,0.961749349892119,0.768882035444842,0.573701179577999,0.575533170784454
0,50,0.787772408916249,0.454902225872536,0.454902225872536,0.577453869574274,0.6,0.763041148608156,0.763041148608156,0.608052694330135,0.582693020506132
0.4,50,0.47266344534975,0.2742771860628,0.457128643438,0.580280088848097,0.6,1.11601341620198,0.76003882468638,0.6034369844574,0.584358215421967
