Countrycode	Timezone	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	AirQualityStationNatCode	SamplingPoint	SamplingProcess	Sample	AirPollutantCode	AirPollutant	Projection	Longitude	Latitude	Altitude	MeasurementType	MeasurementMethod	AirQualityStationType	AirQualityStationArea	EquivalenceDemonstrated	MeasurementEquipment	InletHeight	BuildingDistance	KerbDistance
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0201A	AL0201A	AL360A01	SPO-AL0201A_00001_100	SPP-AL_A_UV-FL_API100E	SPO_F-AL0201A_00001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	SO2	EPSG:4979	nan	nan	162	automatic	UV-FL	traffic	urban			3	-999	2.8
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0201A	AL0201A	AL360A01	SPO-AL0201A_00005_100	SPP-AL_A_light-scat_GRIMM-EDM180	SPO_F-AL0201A_00005_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	PM10	EPSG:4979	nan	nan	162	automatic	light-scat	traffic	urban			3	-999	2.8
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0201A	AL0201A	AL360A01	SPO-AL0201A_00007_100	SPP-AL_A_UV-P_API400E	SPO_F-AL0201A_00007_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7	O3	EPSG:4979	nan	nan	162	automatic	UV-P	traffic	urban			3	-999	2.8
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0201A	AL0201A	AL360A01	SPO-AL0201A_00008_100	SPP-AL_A_chemi_API200A	SPO_F-AL0201A_00008_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	NO2	EPSG:4979	nan	nan	162	automatic	chemi	traffic	urban			3	-999	2.8
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0201A	AL0201A	AL360A01	SPO-AL0201A_00010_100	SPP-AL_A_NDIR_ML9830B	SPO_F-AL0201A_00010_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10	CO	EPSG:4979	nan	nan	162	automatic	NDIR	traffic	urban			3	-999	2.8
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0201A	AL0201A	AL360A01	SPO-AL0201A_00020_100	SPP-AL_A_GC-FID_GC955	SPO_F-AL0201A_00020_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/20	C6H6	EPSG:4979	nan	nan	162	automatic	GC-FID	traffic	urban			0	-999	2.8
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0201A	AL0201A	AL360A01	SPO-AL0201A_00038_100	SPP-AL_A_chemi_thermo14B-E	SPO_F-AL0201A_00038_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38	NO	EPSG:4979	nan	nan	162	automatic	chemi	traffic	urban			3	-999	2.8
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0201A	AL0201A	AL360A01	SPO-AL0201A_06001_100	SPP-AL_A_light-scat_GRIMM-EDM180	SPO_F-AL0201A_06001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	PM2.5	EPSG:4979	nan	nan	162	automatic	light-scat	traffic	urban			3	-999	2.8
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0202A	AL0202A	AL360A02	SPO-AL0202A_00001_100	SPP-AL_A_UV-FL_API100E	SPO_F-AL0202A_00001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	SO2	EPSG:4979	nan	nan	207	automatic	UV-FL	traffic	suburban			3	-999	5
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0202A	AL0202A	AL360A02	SPO-AL0202A_00005_100	SPP-AL_A_light-scat_GRIMM-EDM180	SPO_F-AL0202A_00005_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	PM10	EPSG:4979	nan	nan	207	automatic	light-scat	traffic	suburban			3	-999	5
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0202A	AL0202A	AL360A02	SPO-AL0202A_00007_100	SPP-AL_A_UV-P_API400E	SPO_F-AL0202A_00007_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7	O3	EPSG:4979	nan	nan	207	automatic	UV-P	traffic	suburban			3	-999	5
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0202A	AL0202A	AL360A02	SPO-AL0202A_00008_100	SPP-AL_A_chemi_API200A	SPO_F-AL0202A_00008_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	NO2	EPSG:4979	nan	nan	207	automatic	chemi	traffic	suburban			3	-999	5
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0202A	AL0202A	AL360A02	SPO-AL0202A_00010_100	SPP-AL_A_NDIR_API300E	SPO_F-AL0202A_00010_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10	CO	EPSG:4979	nan	nan	207	automatic	NDIR	traffic	suburban			3	-999	5
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0202A	AL0202A	AL360A02	SPO-AL0202A_00020_100	SPP-AL_A_GC-FID_GC955	SPO_F-AL0202A_00020_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/20	C6H6	EPSG:4979	nan	nan	207	automatic	GC-FID	traffic	suburban			3	-999	5
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0202A	AL0202A	AL360A02	SPO-AL0202A_00038_100	SPP-AL_A_chemi_API200A	SPO_F-AL0202A_00038_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38	NO	EPSG:4979	nan	nan	207	automatic	chemi	traffic	suburban			3	-999	5
AL	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AL.NEA.AQ	NET-AL002A	STA-AL0202A	AL0202A	AL360A02	SPO-AL0202A_06001_100	SPP-AL_A_light-scat_GRIMM-EDM180	SPO_F-AL0202A_06001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	PM2.5	EPSG:4979	nan	nan	207	automatic	light-scat	traffic	suburban			3	-999	5
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ACH1	AT0ACH1	10ACH1	SPO-AT0ACH1_00007_100	SPP-AT_A_UV-P_horibaAPOA350E	SPO_F-AT0ACH1_00007_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7	O3	EPSG:4979	nan	nan	463	automatic	UV-P	background	rural-regional			3	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ENK1	AT0ENK1	10ENK1	SPO-AT0ENK1_00001_100	SPP-AT_A_UV-FL_thermo43i	SPO_F-AT0ENK1_00001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	SO2	EPSG:4979	nan	nan	525	automatic	UV-FL	background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ENK1	AT0ENK1	10ENK1	SPO-AT0ENK1_00005_100	SPP-AT_N_gravi_digitelDHA-80	SPO_F-AT0ENK1_00005_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	PM10	EPSG:4979	nan	nan	525	active		background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ENK1	AT0ENK1	10ENK1	SPO-AT0ENK1_00005_101	SPP-AT_A_light-scat_GRIMM-EDM180	SPO_F-AT0ENK1_00005_101_101	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	PM10	EPSG:4979	nan	nan	525	automatic	other	background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ENK1	AT0ENK1	10ENK1	SPO-AT0ENK1_00007_100	SPP-AT_A_UV-P_thermo49i	SPO_F-AT0ENK1_00007_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7	O3	EPSG:4979	nan	nan	525	automatic	UV-P	background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ENK1	AT0ENK1	10ENK1	SPO-AT0ENK1_00008_100	SPP-AT_A_chemi_thermo42i	SPO_F-AT0ENK1_00008_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	NO2	EPSG:4979	nan	nan	525	automatic	chemi	background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ENK1	AT0ENK1	10ENK1	SPO-AT0ENK1_00038_100	SPP-AT_A_chemi_thermo42i	SPO_F-AT0ENK1_00038_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38	NO	EPSG:4979	nan	nan	525	automatic	chemi	background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ENK1	AT0ENK1	10ENK1	SPO-AT0ENK1_06001_100	SPP-AT_A_light-scat_GRIMM-EDM180	SPO_F-AT0ENK1_06001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	PM2.5	EPSG:4979	nan	nan	525	automatic	other	background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0HBG1	AT0HBG1	HBG1	SPO-AT0HBG1_00001_500	SPP-AT_A_UV-FL_thermo43	SPO_F-AT0HBG1_00001_500_500	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	SO2	EPSG:4979	nan	nan	463	automatic	UV-FL	background	rural			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0HBG1	AT0HBG1	HBG1	SPO-AT0HBG1_00007_500	SPP-AT_A_UV-P_horibaAPOA350E	SPO_F-AT0HBG1_00007_500_500	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7	O3	EPSG:4979	nan	nan	463	automatic	UV-P	background	rural			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0HBG1	AT0HBG1	HBG1	SPO-AT0HBG1_00008_500	SPP-AT_A_chemi_horibaAPNA350E	SPO_F-AT0HBG1_00008_500_500	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	NO2	EPSG:4979	nan	nan	463	automatic	chemi	background	rural			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0HBG1	AT0HBG1	HBG1	SPO-AT0HBG1_00038_100	SPP-AT_A_chemi_horibaAPNA350E	SPO_F-AT0HBG1_00038_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38	NO	EPSG:4979	nan	nan	463	automatic	chemi	background	rural			3	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00001_500	SPP-AT_A_UV-FL_thermo43i	SPO_F-AT0ILL1_00001_500_500	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	SO2	EPSG:4979	nan	nan	117	automatic	UV-FL	background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00004_100	SPP-AT_A_BETA_andersenFH621N	SPO_F-AT0ILL1_00004_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4	SPM	EPSG:4979	nan	nan	117	automatic	BETA	background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00005_100	SPP-AT_N_gravi_digitelDHA-80	SPO_F-AT0ILL1_00005_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	PM10	EPSG:4979	nan	nan	117	active		background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00007_500	SPP-AT_A_UV-P_D9042	SPO_F-AT0ILL1_00007_500_500	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7	O3	EPSG:4979	nan	nan	117	automatic	UV-P	background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00008_500	SPP-AT_A_chemi_thermo42i	SPO_F-AT0ILL1_00008_500_500	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	NO2	EPSG:4979	nan	nan	117	automatic	chemi	background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00010_500	SPP-AT_A_NDIR_horibaAPMA370	SPO_F-AT0ILL1_00010_500_500	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10	CO	EPSG:4979	nan	nan	117	automatic	NDIR	background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00012_100	SPP-AT_N_AAS_digitelDHA-80	SPO_F-AT0ILL1_00012_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/12	Pb	EPSG:4979	nan	nan	117	active		background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00014_100	SPP-AT_N_AAS_digitelDHA-80	SPO_F-AT0ILL1_00014_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/14	Cd	EPSG:4979	nan	nan	117	active		background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00015_100	SPP-AT_N_AAS_digitelDHA-80	SPO_F-AT0ILL1_00015_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/15	Ni	EPSG:4979	nan	nan	117	active		background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00018_100	SPP-AT_N_06857digitelDHA-80	SPO_F-AT0ILL1_00018_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/18	As	EPSG:4979	nan	nan	117	active		background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00020_100	SPP-AT_N_01652orsaPS	SPO_F-AT0ILL1_00020_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/20	C6H6	EPSG:4979	nan	nan	117	active		background	rural-remote			2	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00021_100	SPP-AT_N_01654digitelAS	SPO_F-AT0ILL1_00021_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/21	C6H5-CH3	EPSG:4979	nan	nan	117	active		background	rural-remote			2	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00038_100	SPP-AT_A_chemi_thermo42i	SPO_F-AT0ILL1_00038_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38	NO	EPSG:4979	nan	nan	117	automatic	chemi	background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00316_100	SPP-AT_N_01654digitelAS	SPO_F-AT0ILL1_00316_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/316	(CH3)2-CH-CH2-CH2-CH3	EPSG:4979	nan	nan	117	active		background	rural-remote			2	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00431_100	SPP-AT_N_01654digitelAS	SPO_F-AT0ILL1_00431_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/431	C6H5-C2H5	EPSG:4979	nan	nan	117	active		background	rural-remote			2	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00441_100	SPP-AT_N_01654digitelAS	SPO_F-AT0ILL1_00441_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/441	C7H16	EPSG:4979	nan	nan	117	active		background	rural-remote			2	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00443_100	SPP-AT_N_01654digitelAS	SPO_F-AT0ILL1_00443_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/443	C6H14	EPSG:4979	nan	nan	117	active		background	rural-remote			2	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00449_100	SPP-AT_N_01654digitelAS	SPO_F-AT0ILL1_00449_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/449	(CH3)3-C-CH2-CH-(CH3)2	EPSG:4979	nan	nan	117	active		background	rural-remote			2	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00450_100	SPP-AT_N_01654digitelAS	SPO_F-AT0ILL1_00450_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/450	H3C-CH2-CH(CH3)2	EPSG:4979	nan	nan	117	active		background	rural-remote			2	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00464_100	SPP-AT_N_01654digitelAS	SPO_F-AT0ILL1_00464_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/464	m,p-C6H4(CH3)2	EPSG:4979	nan	nan	117	active		background	rural-remote			2	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00475_100	SPP-AT_N_01654digitelAS	SPO_F-AT0ILL1_00475_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/475	C8H18	EPSG:4979	nan	nan	117	active		background	rural-remote			2	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00482_100	SPP-AT_N_01654digitelAS	SPO_F-AT0ILL1_00482_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/482	o-C6H4-(CH3)2	EPSG:4979	nan	nan	117	active		background	rural-remote			2	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_00486_100	SPP-AT_N_01654digitelAS	SPO_F-AT0ILL1_00486_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/486	H3C-(CH2)3-CH3	EPSG:4979	nan	nan	117	active		background	rural-remote			2	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_06001_100	SPP-AT_N_gravi_digitelDHA-80	SPO_F-AT0ILL1_06001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	PM2.5	EPSG:4979	nan	nan	117	active		background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_06002_100	SPP-AT_N_gravi_digitelDHA-80	SPO_F-AT0ILL1_06002_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6002	PM1	EPSG:4979	nan	nan	117	active		background	rural-remote			3	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_06008_100	SPP-AT_N_01654digitelAS	SPO_F-AT0ILL1_06008_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6008	H2C=CH-CH2-CH2-CH3	EPSG:4979	nan	nan	117	active		background	rural-remote			2	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_06009_100	SPP-AT_N_01654digitelAS	SPO_F-AT0ILL1_06009_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6009	H3C-HC=CH-CH2-CH3	EPSG:4979	nan	nan	117	active		background	rural-remote			2	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_06011_100	SPP-AT_N_01654digitelAS	SPO_F-AT0ILL1_06011_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6011	1,2,4-C6H3(CH3)3	EPSG:4979	nan	nan	117	active		background	rural-remote			2	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_06012_100	SPP-AT_N_01654digitelAS	SPO_F-AT0ILL1_06012_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6012	1,2,3-C6H3(CH3)3	EPSG:4979	nan	nan	117	active		background	rural-remote			2	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0ILL1	AT0ILL1	10ILL1	SPO-AT0ILL1_06013_100	SPP-AT_N_01654digitelAS	SPO_F-AT0ILL1_06013_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6013	1,3,5-C6H3(CH3)3	EPSG:4979	nan	nan	117	active		background	rural-remote			2	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0PIL1	AT0PIL1	10PIL1	SPO-AT0PIL1_00001_500	SPP-AT_A_UV-FL_thermo43i	SPO_F-AT0PIL1_00001_500_500	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	SO2	EPSG:4979	nan	nan	315	automatic	UV-FL	background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0PIL1	AT0PIL1	10PIL1	SPO-AT0PIL1_00004_500	SPP-AT_A_BETA_andersenFH621N	SPO_F-AT0PIL1_00004_500_500	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/4	SPM	EPSG:4979	nan	nan	315	automatic	BETA	background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0PIL1	AT0PIL1	10PIL1	SPO-AT0PIL1_00005_100	SPP-AT_N_gravi_digitelDHA-80	SPO_F-AT0PIL1_00005_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	PM10	EPSG:4979	nan	nan	315	active		background	rural-remote			3	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0PIL1	AT0PIL1	10PIL1	SPO-AT0PIL1_00005_101	SPP-AT_A_light-scat_GRIMM-EDM180	SPO_F-AT0PIL1_00005_101_101	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	PM10	EPSG:4979	nan	nan	315	automatic	other	background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0PIL1	AT0PIL1	10PIL1	SPO-AT0PIL1_00007_500	SPP-AT_A_UV-P_thermo49i	SPO_F-AT0PIL1_00007_500_500	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7	O3	EPSG:4979	nan	nan	315	automatic	UV-P	background	rural-remote			4	-999	-999
AT	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	AT.0008.20.AQ	NET-AT001A	STA-AT0PIL1	AT0PIL1	10PIL1	SPO-AT0PIL1_00008_500	SPP-AT_A_chemi_API200A	SPO_F-AT0PIL1_00008_500_500	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	NO2	EPSG:4979	nan	nan	315	automatic	chemi	background	rural-remote			4	-999	-999
