Countrycode	Timezone	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	AirQualityStationNatCode	SamplingPoint	SamplingProcess	Sample	AirPollutantCode	AirPollutant	Projection	Longitude	Latitude	Altitude	MeasurementType	MeasurementMethod	AirQualityStationType	AirQualityStationArea	EquivalenceDemonstrated	MeasurementEquipment	InletHeight	BuildingDistance	KerbDistance
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23107	FR23107	FR23107	SPO-FR23107_00038_1	SPP-FR_A_chemi_D9053	SPO_F-FR23107_00038_1_1	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38	NO	EPSG:4979	nan	nan	36	automatic	chemi	background	urban			4	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23107	FR23107	FR23107	SPO-FR23107_06001_100	SPP-FR_A_TEOM_09000	SPO_F-FR23107_06001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	PM2.5	EPSG:4979	nan	nan	36	automatic	TEOM	background	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23108	FR23108	FR23108	SPO-FR23108_00001_100	SPP-FR_A_UV-FL_12000	SPO_F-FR23108_00001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	SO2	EPSG:4979	nan	nan	28	automatic	UV-FL	traffic	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23108	FR23108	FR23108	SPO-FR23108_00005_100	SPP-FR_A_TEOM_09000	SPO_F-FR23108_00005_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	PM10	EPSG:4979	nan	nan	28	automatic	TEOM	traffic	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23108	FR23108	FR23108	SPO-FR23108_00008_100	SPP-FR_A_chemi_02000	SPO_F-FR23108_00008_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	NO2	EPSG:4979	nan	nan	28	automatic	chemi	traffic	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23108	FR23108	FR23108	SPO-FR23108_00010_100	SPP-FR_A_NDIR_07000	SPO_F-FR23108_00010_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10	CO	EPSG:4979	nan	nan	28	automatic	NDIR	traffic	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23108	FR23108	FR23108	SPO-FR23108_00038_100	SPP-FR_A_chemi_02000	SPO_F-FR23108_00038_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38	NO	EPSG:4979	nan	nan	28	automatic	chemi	traffic	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23110	FR23110	FR23110	SPO-FR23110_00001_100	SPP-FR_A_UV-FL_12000	SPO_F-FR23110_00001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	SO2	EPSG:4979	nan	nan	25	automatic	UV-FL	background	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23110	FR23110	FR23110	SPO-FR23110_00005_100	SPP-FR_A_TEOM_D9099	SPO_F-FR23110_00005_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	PM10	EPSG:4979	nan	nan	25	automatic	TEOM	background	urban			4	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23110	FR23110	FR23110	SPO-FR23110_00007_100	SPP-FR_A_UV-P_D9100	SPO_F-FR23110_00007_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7	O3	EPSG:4979	nan	nan	25	automatic	UV-P	background	urban			4	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23110	FR23110	FR23110	SPO-FR23110_00008_100	SPP-FR_A_chemi_D9047	SPO_F-FR23110_00008_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	NO2	EPSG:4979	nan	nan	25	automatic	chemi	background	urban			4	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23110	FR23110	FR23110	SPO-FR23110_00038_100	SPP-FR_A_chemi_D9047	SPO_F-FR23110_00038_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38	NO	EPSG:4979	nan	nan	25	automatic	chemi	background	urban			4	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23110	FR23110	FR23110	SPO-FR23110_06001_100	SPP-FR_A_TEOM_D9099	SPO_F-FR23110_06001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	PM2.5	EPSG:4979	nan	nan	25	automatic	TEOM	background	urban			4	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23112	FR23112	FR23112	SPO-FR23112_00001_100	SPP-FR_A_UV-FL_12000	SPO_F-FR23112_00001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	SO2	EPSG:4979	nan	nan	3	automatic	UV-FL	background	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23112	FR23112	FR23112	SPO-FR23112_00005_100	SPP-FR_A_TEOM_09000	SPO_F-FR23112_00005_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	PM10	EPSG:4979	nan	nan	3	automatic	TEOM	background	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23112	FR23112	FR23112	SPO-FR23112_00007_100	SPP-FR_A_UV-P_11000	SPO_F-FR23112_00007_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7	O3	EPSG:4979	nan	nan	3	automatic	UV-P	background	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23112	FR23112	FR23112	SPO-FR23112_00008_100	SPP-FR_A_chemi_02000	SPO_F-FR23112_00008_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	NO2	EPSG:4979	nan	nan	3	automatic	chemi	background	urban			4	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23112	FR23112	FR23112	SPO-FR23112_00038_100	SPP-FR_A_chemi_02000	SPO_F-FR23112_00038_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38	NO	EPSG:4979	nan	nan	3	automatic	chemi	background	urban			5	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23113	FR23113	FR23113	SPO-FR23113_00001_100	SPP-FR_A_UV-FL_12000	SPO_F-FR23113_00001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	SO2	EPSG:4979	nan	nan	40	automatic	UV-FL	background	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23113	FR23113	FR23113	SPO-FR23113_00005_100	SPP-FR_A_TEOM_09000	SPO_F-FR23113_00005_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	PM10	EPSG:4979	nan	nan	40	automatic	TEOM	background	urban			3	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23113	FR23113	FR23113	SPO-FR23113_00007_100	SPP-FR_A_UV-P_11000	SPO_F-FR23113_00007_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7	O3	EPSG:4979	nan	nan	40	automatic	UV-P	background	urban			4	-999	-999
FR	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01	FR.LCSQA-INERIS.AQ	NET-FR035A	STA-FR23113	FR23113	FR23113	SPO-FR23113_00008_100	SPP-FR_A_chemi_02000	SPO_F-FR23113_00008_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	NO2	EPSG:4979	nan	nan	40	automatic	chemi	background	urban			3	-999	-999
