"example_id","source","variable","units","correction_type","r2_definition","r_obs","r2_obs","rmse_obs","sigma2_obs","sigma2_eps","q_eps","r_ME","R2_ME","RMSE_ME","lambda","sigma2_delta","sigma2_block","r_B","R2_B","RMSE_B","r_B_raw","R2_B_raw","RMSE_B_raw","mse_B_raw","mse_B","r_bound_truncated","r2_bound_truncated","mse_bound_truncated","r_noninformative","r2_noninformative","mse_noninformative","support_variance_exceeds_observed_mse","notes","study","prediction_support","reference_support","information_tier","available_information","main_limitation","data_source","model_type","validation_design","predictor_vars","n_total_raw","n_model_complete","n_validation","n_variogram","r2_predictive","r2_correlation","cell_side","equivalent_radius","structural_covariance_model","variogram_model","variogram_range","variogram_range_m","variogram_nugget","partial_sill","partial_sill_scaled","true_nugget","true_nugget_used_for_support","measurement_error_nugget","fitted_nugget_scaled","nugget_to_sill","nugget_measurement_error_fraction","nugget_support_fraction","gamma_struct_R","sigma2_delta_struct","rho_struct_R"
"example_no2_eu_split","Vizcaino and Lavalle (2018) NO2 Europe station data; recovered AirBase/EEA coordinates","Annual mean NO2","ug m^-3","tier2_response_variogram_nugget_partition","predictive_skill",0.745718230627357,0.552919863128605,9.53049017927051,203.163226379926,56.417188375665,0.277693898551117,0.877433312478031,0.765492444296811,5.86626411624184,0.444534935296394,56.4328863108542,90.3131516934071,NA,NA,NA,1.11846348968284,1.24381644551726,NA,-22.0198316293475,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"RF 10-fold CV metrics computed from the released station table; 100 m prediction support; fitted response semivariogram; nugget partition: NO2-EU; 50/50 nugget split","NO2-EU; 50/50 nugget split","100 m grid cell","AirBase monitoring station","Tier 2 sens.","station data; recovered AirBase/EEA coordinates; response variance; CV RMSE; fitted response semivariogram; nugget partition scenario","Does not reproduce pan-European raster map; fitted nugget decomposition is a sensitivity assumption.","Vizcaino and Lavalle (2018) Mendeley Data (CC BY 4.0); AirBase/EEA metadata","randomForest","10-fold cross-validation","nb_luabloc;nb_luAgloc2010;nb_luFrloc;nb_luGUloc;nb_luIdloc2010;nb_luUrloc2010;nb_pop2010;nb_proxAg_empl;nb_proxAg_gva;nb_proxId_empl;nb_proxId_gva;nb_proxUr_empl;nb_proxUr_gva;nb_rHloc;nb_rLloc;nb_rMloc;nb_toploc;re_coastal;re_mdtall;re_tempall;re_windspa;r_proxIf2010;r_proxIn2010;r_proxUr2010",1730,1730,1730,1730,0.552919863128605,0.556095679489997,100,56.4189583547756,"Spherical","Sph + Nug",342797.705111138,342797.705111138,112.83437675133,70.2290082640018,70.2290082640018,56.417188375665,56.417188375665,56.417188375665,112.83437675133,0.616367804746318,0.5,0.5,0.0173378383126124,0.0156979351892213,0.999753124261026
"example_no2_eu_full_nugget","Vizcaino and Lavalle (2018) NO2 Europe station data; recovered AirBase/EEA coordinates","Annual mean NO2","ug m^-3","tier2_response_variogram_nugget_partition","predictive_skill",0.745718230627357,0.552919863128605,9.53049017927051,203.163226379926,0,0,0.745718230627357,0.552919863128605,9.53049017927051,0.444534935296394,112.850074686519,90.3131516934071,NA,NA,NA,1.11846348968284,1.24381644551726,NA,-22.0198316293475,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"RF 10-fold CV metrics computed from the released station table; 100 m prediction support; fitted response semivariogram; nugget partition: NO2-EU; full nugget microscale","NO2-EU; full nugget microscale","100 m grid cell","AirBase monitoring station","Tier 2 sens.","station data; recovered AirBase/EEA coordinates; response variance; CV RMSE; fitted response semivariogram; nugget partition scenario","Does not reproduce pan-European raster map; fitted nugget decomposition is a sensitivity assumption.","Vizcaino and Lavalle (2018) Mendeley Data (CC BY 4.0); AirBase/EEA metadata","randomForest","10-fold cross-validation","nb_luabloc;nb_luAgloc2010;nb_luFrloc;nb_luGUloc;nb_luIdloc2010;nb_luUrloc2010;nb_pop2010;nb_proxAg_empl;nb_proxAg_gva;nb_proxId_empl;nb_proxId_gva;nb_proxUr_empl;nb_proxUr_gva;nb_rHloc;nb_rLloc;nb_rMloc;nb_toploc;re_coastal;re_mdtall;re_tempall;re_windspa;r_proxIf2010;r_proxIn2010;r_proxUr2010",1730,1730,1730,1730,0.552919863128605,0.556095679489997,100,56.4189583547756,"Spherical","Sph + Nug",342797.705111138,342797.705111138,112.83437675133,70.2290082640018,70.2290082640018,112.83437675133,112.83437675133,0,112.83437675133,0.616367804746318,0,1,0.0173378383126124,0.0156979351892213,0.999753124261026
