"example_id","source","variable","units","correction_type","r2_definition","r_obs","r2_obs","rmse_obs","sigma2_obs","sigma2_eps","q_eps","r_ME","R2_ME","RMSE_ME","lambda","sigma2_delta","sigma2_block","r_B","R2_B","RMSE_B","r_B_raw","R2_B_raw","RMSE_B_raw","mse_B_raw","mse_B","r_bound_truncated","r2_bound_truncated","mse_bound_truncated","r_noninformative","r2_noninformative","mse_noninformative","support_variance_exceeds_observed_mse","notes","study","prediction_support","reference_support","information_tier","available_information","main_limitation","cell_side","equivalent_radius","gamma_true_R","r2_correlation","r2_correlation_tier1","r2_correlation_tier2","r2_correlation_tier2_raw","r2_correlation_tier2_noninformative","r2_predictive","variogram_model","structural_covariance_model","variogram_range","true_nugget","partial_sill","nugget_to_sill","rho_R","rho_struct_R"
"example_meuse_logzinc_lm_100m","sp::meuse / sp::meuse.grid, linear model analysed with sf","Log zinc","log(mg kg^-1)","tier3_support_sensitivity_bulk_samples_as_points","predictive_skill",0.808122836849153,0.654428106158455,0.424360401812577,0.521112260099211,0,0,0.808122836849153,0.654428106158455,0.424360401812577,0.806099738665543,0.101043803417827,0.420068456681385,0.900083891910491,0.811845079173239,0.281136883401495,0.900083891910491,0.811845079173239,0.281136883401495,0.0790379472087055,0.0790379472087055,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"LOOCV linear model using predictors available in meuse.grid: x, y, dist, ffreq, soil . Predictive R2 is computed as 1 - MSE_LOOCV / Var(response) and corrected on the MSE scale. For audit, squared-correlation R2 from LOOCV predictions is also stored and adjusted through lambda. Measurement error is unknown and set to zero. The observations are bulk soil samples with finite support but are treated as points here for illustration.","Meuse--Zn","100 m grid cell","treated as point soil sample","Tier 3","LOOCV predictive R2, response variance and fitted response semivariogram","Bulk soil samples treated as point support for illustration.",100,56.4189583547756,0.106307265424144,0.653062519437122,0.653062519437122,0.810151012476736,0.810151012476736,FALSE,0.654428106158455,"Nug+Sph","Spherical",896.999065035911,0.0506594335928377,0.59060483247129,0.0789993085124934,0.795999300795755,0.881714321402739
"example_meuse_logcadmium_lm_100m","sp::meuse / sp::meuse.grid, linear model analysed with sf","Log cadmium","log(mg kg^-1)","tier3_support_sensitivity_bulk_samples_as_points","predictive_skill",0.842518439807023,0.711153290760843,0.658342215439615,1.50049994951158,0,0,0.842518439807023,0.711153290760843,0.658342215439615,0.575414970870777,0.637089814771771,0.863410134739809,NA,NA,NA,1.1106797052841,1.23589639957517,NA,-0.203675342141831,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"LOOCV linear model using predictors available in meuse.grid: x, y, dist, ffreq, soil . Predictive R2 is computed as 1 - MSE_LOOCV / Var(response) and corrected on the MSE scale. For audit, squared-correlation R2 from LOOCV predictions is also stored and adjusted through lambda. Measurement error is unknown and set to zero. The observations are bulk soil samples with finite support but are treated as points here for illustration.","Meuse--Cd","100 m grid cell","treated as point soil sample","Tier 3","LOOCV predictive R2, response variance and fitted response semivariogram","Bulk soil samples treated as point support for illustration.",100,56.4189583547756,0.646412571321658,0.709837321414861,0.709837321414861,NA,1.23360940772998,TRUE,0.711153290760843,"Nug+Sph","Spherical",1149.43730947244,0.54784794065278,1.33979693168681,0.290228288530651,0.569201870661796,0.896536584448134
