"row_id","Study","Variable","Tier","panel","value","example_label","example_label_text","support_class","support_m","prediction_support","reference_support","bound_noninformative","noninformative_endpoint","point_value","axis_range_value","panel_label","symbol_target"
10,"SWE, 10 m","SWE","Tier 2","R2",0.468,"SWE, 10 m, q=0.000","SWE, 10 m, q=0.000","small support",10,"10 m grid cell","local snow survey site",FALSE,FALSE,0.468,0.468,"R²","small support"
11,"SWE, 10 m","SWE","Tier 2","R2",0.468,"SWE, 10 m, q=0.015","SWE, 10 m, q=0.015","small support",10,"10 m grid cell","local snow survey site",FALSE,FALSE,0.468,0.468,"R²","small support"
12,"SWE, 100 m","SWE","Tier 2","R2",0.794,"SWE, 100 m, q=0.000","SWE, 100 m, q=0.000","medium support",100,"100 m grid cell","local snow survey site",FALSE,FALSE,0.794,0.794,"R²","medium support"
13,"SWE, 100 m","SWE","Tier 2","R2",0.794,"SWE, 100 m, q=0.015","SWE, 100 m, q=0.015","medium support",100,"100 m grid cell","local snow survey site",FALSE,FALSE,0.794,0.794,"R²","medium support"
1,"Biomass","Total biomass","Raw reference support","Relative error",1,"Biomass","Biomass","small support",30,"30 m map pixel","60 m field site; two 4 m x 4 m subplots",FALSE,FALSE,1,1,"RMSE / raw","raw reference-support metric"
2,"BTS","BTS","Raw reference support","Relative error",1,"BTS","BTS","small support",30,"30 m grid cell","BTS point observation",FALSE,FALSE,1,1,"RMSE / raw","raw reference-support metric"
3,"Meuse--Cd","Log cadmium","Raw reference support","Relative error",1,"Meuse--Cd","Meuse--Cd","medium support",100,"100 m grid cell","treated as point soil sample",FALSE,FALSE,1,1,"RMSE / raw","raw reference-support metric"
4,"Meuse--Zn","Log zinc","Raw reference support","Relative error",1,"Meuse--Zn","Meuse--Zn","medium support",100,"100 m grid cell","treated as point soil sample",FALSE,FALSE,1,1,"RMSE / raw","raw reference-support metric"
5,"NO2-DE","Annual mean NO2","Raw reference support","Relative error",1,"NO2-DE","NO2-DE","large support",2000,"2 km grid cell","monitoring station annual mean",FALSE,FALSE,1,1,"RMSE / raw","raw reference-support metric"
6,"NO2-EU; 50/50 nugget split","Annual mean NO2","Raw reference support","Relative error",1,"NO2-EU; 50/50 nugget split","NO2-EU; 50/50 nugget split","medium support",100,"100 m grid cell","AirBase monitoring station",FALSE,FALSE,1,1,"RMSE / raw","raw reference-support metric"
7,"NO2-EU; full nugget microscale","Annual mean NO2","Raw reference support","Relative error",1,"NO2-EU; full nugget microscale","NO2-EU; full nugget microscale","medium support",100,"100 m grid cell","AirBase monitoring station",FALSE,FALSE,1,1,"RMSE / raw","raw reference-support metric"
8,"S1-SM","Soil moisture","Raw reference support","Relative error",1,"S1-SM","S1-SM","large support",1000,"Sentinel-1 soil moisture product, approximately 1 km","in situ point-scale soil moisture at 0.05 m depth",FALSE,FALSE,1,1,"RMSE / raw","raw reference-support metric"
9,"SMAP-CRNS","Soil moisture","Raw reference support","Relative error",1,"SMAP-CRNS","SMAP-CRNS","large support",9000,"SMAP 9 km pixel","CRNS footprint",FALSE,FALSE,1,1,"RMSE / raw","raw reference-support metric"
10,"SWE, 10 m","SWE","Raw reference support","Relative error",1,"SWE, 10 m, q=0.000","SWE, 10 m, q=0.000","small support",10,"10 m grid cell","local snow survey site",FALSE,FALSE,1,1,"RMSE / raw","raw reference-support metric"
11,"SWE, 10 m","SWE","Raw reference support","Relative error",1,"SWE, 10 m, q=0.015","SWE, 10 m, q=0.015","small support",10,"10 m grid cell","local snow survey site",FALSE,FALSE,1,1,"RMSE / raw","raw reference-support metric"
12,"SWE, 100 m","SWE","Raw reference support","Relative error",1,"SWE, 100 m, q=0.000","SWE, 100 m, q=0.000","medium support",100,"100 m grid cell","local snow survey site",FALSE,FALSE,1,1,"RMSE / raw","raw reference-support metric"
13,"SWE, 100 m","SWE","Raw reference support","Relative error",1,"SWE, 100 m, q=0.015","SWE, 100 m, q=0.015","medium support",100,"100 m grid cell","local snow survey site",FALSE,FALSE,1,1,"RMSE / raw","raw reference-support metric"
1,"Biomass","Total biomass","Tier 1","Relative error",0.833310483870968,"Biomass","Biomass","small support",30,"30 m map pixel","60 m field site; two 4 m x 4 m subplots",FALSE,FALSE,0.833310483870968,0.833310483870968,"RMSE / raw","latent reference-support metric"
2,"BTS","BTS","Tier 1","Relative error",0.992294991744634,"BTS","BTS","small support",30,"30 m grid cell","BTS point observation",FALSE,FALSE,0.992294991744634,0.992294991744634,"RMSE / raw","latent reference-support metric"
